Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
ROYK02SGSD9M070,All Men's,Shoe,The Royale Knit - White/Gum,7 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M080,All Men's,Shoe,The Royale Knit - White/Gum,8 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M085,All Men's,Shoe,The Royale Knit - White/Gum,8.5 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M090,All Men's,Shoe,The Royale Knit - White/Gum,9 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M095,All Men's,Shoe,The Royale Knit - White/Gum,9.5 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M100,All Men's,Shoe,The Royale Knit - White/Gum,10 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M105,All Men's,Shoe,The Royale Knit - White/Gum,10.5 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M110,All Men's,Shoe,The Royale Knit - White/Gum,11 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M115,All Men's,Shoe,The Royale Knit - White/Gum,11.5 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M120,All Men's,Shoe,The Royale Knit - White/Gum,12 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M130,All Men's,Shoe,The Royale Knit - White/Gum,13 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
ROYK02SGSD9M140,All Men's,Shoe,The Royale Knit - White/Gum,14 White Gum,119.00,Yes,https://www.greats.com/products/the-royale-knit-white-gum,https://cdn.shopify.com/s/files/1/0238/2821/products/200624-Royale_0005_KnitBlancoGum1.jpg?v=1593448765,"Finally—a sporty, eco-friendly sneaker worth wearing! This knit version of our classic Royale model is our most responsible, and fastest-selling shoe to date. And it's even made from recycled plastic. We teamed up with our factory and found a new way to take seven plastic bottles that would have wound up in the ocean and transform them into something that looks awesome on land. Pretty sweet!"
GBEM01SGGPSSFA,All Men's,Mask,Classic Mask - Grey Pinstripe,Grey Pinstripe OS,21.00,Yes,https://www.greats.com/products/classic-mask-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/200614FacemaskElastic_0003_Stripe1HighRes.jpg?v=1592863518,"The greatest people consider the collective, and we're helping you do that in style. The details in our non-medical face masks focus on comfort and innovation. Hand sewn in Brooklyn by a small business, we're supporting our community while helping to keep it safe."
GBEM01SGRHISFA,All Men's,Mask,Classic Mask - Black,Black OS,21.00,Yes,https://www.greats.com/products/classic-mask-black,https://cdn.shopify.com/s/files/1/0238/2821/products/200614FacemaskElastic_0000_Black1HighRes.jpg?v=1592863451,"The greatest people consider the collective, and we're helping you do that in style. The details in our non-medical face masks focus on comfort and innovation. Hand sewn in Brooklyn by a small business, we're supporting our community while helping to keep it safe."
GTCM01SGGPSSFA,All Men's,Mask,Technical Mask - Grey Pinstripe,Grey Pinstripe OS,25.00,Yes,https://www.greats.com/products/technical-mask-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/200614FacemaskHighRes_0003_Stripe1.jpg?v=1592863298,"The greatest people consider the collective, and we're helping you do that in style. The details in our non-medical face masks focus on comfort and innovation. Hand sewn in Brooklyn by a small business, we're supporting our community while helping to keep it safe."
GTCM01SGRHISFA,All Men's,Mask,Technical Mask - Black,Black OS,25.00,Yes,https://www.greats.com/products/technical-mask-black,https://cdn.shopify.com/s/files/1/0238/2821/products/200614FacemaskHighRes_0000_Black1.jpg?v=1592846743,"The greatest people consider the collective, and we're helping you do that in style. The details in our non-medical face masks focus on comfort and innovation. Hand sewn in Brooklyn by a small business, we're supporting our community while helping to keep it safe."
WOOV02SGEJMM070,All Men's,Shoe,The Wooster Suede - Light Grey,7 Grey,149.00,Yes,https://www.greats.com/products/the-wooster-suede-light-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/200528Wooster_0000_LightGrey1.jpg?v=1592243826,"The Suede Slip On Wooster is our version of taking the sneaker way back to the old school, when laceless kicks represented the cutting edge, and then giving them a modern, super luxe upgrade. Whether you’re walking, working, or simply kicking it, the versatile and understated Suede Slip On Wooster is going to get you where you need to go. It might even help you feel better about where you are right now. Every great outfit is built from the ground up. Start here."
WOOV02SGEJMM080,All Men's,Shoe,The Wooster Suede - Light Grey,8 Grey,149.00,Yes,https://www.greats.com/products/the-wooster-suede-light-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/200528Wooster_0000_LightGrey1.jpg?v=1592243826,"The Suede Slip On Wooster is our version of taking the sneaker way back to the old school, when laceless kicks represented the cutting edge, and then giving them a modern, super luxe upgrade. Whether you’re walking, working, or simply kicking it, the versatile and understated Suede Slip On Wooster is going to get you where you need to go. It might even help you feel better about where you are right now. Every great outfit is built from the ground up. Start here."
